Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Shepherd),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Tags),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Exception being masked in ClientCredentialsSecurityFilter,USERGRID-774,12840890,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,,,jeffreyawest,jeffreyawest,26/Jun/15 15:45,02/Nov/15 17:41,29/Oct/20 16:05,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"An exception is being masked and causing issues in a deployment.  Here is the class and line.  We should be more specific on what exceptions we catch and at least log them.

https://github.com/apache/incubator-usergrid/blob/49ae4ac5b8d5d77e90e6e6c6e9d8b299a5423863/stack/rest/src/main/java/org/apache/usergrid/rest/security/shiro/filters/ClientCredentialsSecurityFilter.java#L65
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-827,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-26 15:45:44.0,,,,,,,"0|i2gjsv:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column Querying Issues,USERGRID-773,12840879,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,,,jeffreyawest,jeffreyawest,26/Jun/15 15:15,02/Nov/15 17:40,29/Oct/20 16:32,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"From http://community.apigee.com/questions/2432/error-analysis-of-response-when-trying-to-curl-que.html#answer-2454.
I have seen similar issues. I am using the org devnexus and the app 2015, which should be publicly visible.
In the UI, if I set Path to /sessions and Query to select name,title,room where title contains 'Java', I get no response and no error. However, if I capture the query made by the browser (https://api.usergrid.com/devnexus/2015/sessions?ql=select%20name%2Ctitle%2Croom%20where%20title%20contains%20%27Java%27%20order%20by%20created%20desc&access_token=YWMtuzeubNpKEeSm49lERp5XKQAAAUylS2HCr3MkIzCtKZHIYLT1VUiiygN9uUs) using Chrome dev tools, the same query works with curl.
You can see the same result with something as simple as select title.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-26 15:15:47.0,,,,,,,"0|i004hj:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokens generated with app-level credentials cannot be used successfully in Header,USERGRID-770,12840554,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Blocker,Cannot Reproduce,mrusso,jeffreyawest,jeffreyawest,25/Jun/15 14:27,08/Feb/17 17:20,29/Oct/20 16:05,15/Jul/15 00:15,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,They can be used in the access_token qparam but not a header.  They need to work in the header as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-15 00:15:13.871,,,false,USERGRID-603,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Jul 15 00:15:13 UTC 2015,,,,,,,"0|i001mv:",9223372036854775807,,,,,,,,,,,Usergrid 24,,,,,,,,,,,0.0,,,,,,,,,,,"15/Jul/15 00:15;mrusso;Unable to reproduce this in 2.0 or 2.1. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACL not working as expected?,USERGRID-769,12840535,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,,,pandacat,pandacat,25/Jun/15 13:31,02/Nov/15 17:41,29/Oct/20 16:32,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"When setting following ACL rule /assets/* user has access to /assets/xxx but also to /assets meaning that he can list all the assets.

I expected that when allowing /assets/* it would only allow /assets/xxx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-827,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-25 13:31:18.0,,,,,,,"0|i2ghp3:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bad characters in query causes 500 response; expecting 400?",USERGRID-768,12840313,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,,,brandonshelley,brandonshelley,24/Jun/15 20:20,02/Feb/16 22:09,29/Oct/20 16:32,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"If I make the following call:

https://api.usergrid.com/org/app/collection?ql=where%20thirdPropertyTypeInt%20%3E%2030000%20&&%20thirdPropertyTypeInt%20%3C%2040000&limit=10

I get the response:

{code}
{
  ""error"": ""null_pointer"",
  ""timestamp"": 1435176848310,
  ""duration"": 1,
  ""exception"": ""java.lang.NullPointerException""
}
{code}

The cause is that the ampersands in the query string aren't url encoded (should be %26 instead of &). I would expect that if the query string is bad, we should be returning a 400 Bad Request, rather than an ominous NullPointerException/500.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-24 20:20:01.0,,,,,,,"0|i0020f:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portal does not show progress indicator for registration,USERGRID-763,12839647,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,,,jeffreyawest,jeffreyawest,22/Jun/15 19:25,02/Feb/16 22:00,29/Oct/20 16:32,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,When registering/signing up the form does not indicate any change in state when the 'Register' button is pressed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-353,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-22 19:25:05.0,,,,,,,"0|i001pr:000000010cohzzzzzx",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[FIXED?] NPE in CpEntityManager.validate,USERGRID-756,12838322,Bug,Resolved,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Blocker,Won't Fix,,jeffreyawest,jeffreyawest,16/Jun/15 22:48,12/May/16 08:59,29/Oct/20 16:32,21/Jul/15 22:11,,,,,,,,,2.1.0,,,,,,,,,,,0,Fixed?,,,,,,,,"Need to be investigated before 2.1 release.

2015-06-16 22:47:20,361 [http-bio-8080-exec-7] ERROR org.apache.usergrid.corepersistence.CpEntityManager- Unable to load entity saparticles-fixed:e466f39a-cb97-11e4-b30c-f7cc05dca022
java.lang.NullPointerException
	at org.apache.usergrid.corepersistence.CpEntityManager.validate(CpEntityManager.java:956)
	at org.apache.usergrid.corepersistence.CpEntityManager.validate(CpEntityManager.java:942)
	at org.apache.usergrid.corepersistence.CpEntityManager.updateProperties(CpEntityManager.java:1030)
	at org.apache.usergrid.services.AbstractService.updateEntity(AbstractService.java:456)
	at org.apache.usergrid.services.AbstractService.updateEntity(AbstractService.java:444)
	at org.apache.usergrid.services.AbstractCollectionService.putItemByName(AbstractCollectionService.java:305)
	at org.apache.usergrid.services.AbstractService.invokeItemWithName(AbstractService.java:677)
	at org.apache.usergrid.services.AbstractService.invoke(AbstractService.java:628)
	at org.apache.usergrid.services.AbstractService.invoke(AbstractService.java:544)
	at org.apache.usergrid.services.ServiceRequest.execute(ServiceRequest.java:226)
	at org.apache.usergrid.services.ServiceRequest.execute(ServiceRequest.java:193)
	at org.apache.usergrid.rest.applications.ServiceResource.executeServiceRequest(ServiceResource.java:251)
	at org.apache.usergrid.rest.applications.ServiceResource.executePutWithMap(ServiceResource.java:371)
	at org.apache.usergrid.rest.applications.ServiceResource.executePut(ServiceResource.java:420)
	at sun.reflect.GeneratedMethodAccessor167.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:497)
	at com.sun.jersey.spi.container.JavaMethodInvokerFactory$1.invoke(JavaMethodInvokerFactory.java:60)
	at com.sun.jersey.server.impl.model.method.dispatch.AbstractResourceMethodDispatchProvider$TypeOutInvoker._dispatch(AbstractResourceMethodDispatchProvider.java:185)
	at com.sun.jersey.server.impl.model.method.dispatch.ResourceJavaMethodDispatcher.dispatch(ResourceJavaMethodDispatcher.java:75)
	at com.sun.jersey.server.impl.uri.rules.HttpMethodRule.accept(HttpMethodRule.java:302)
	at com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:137)
	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)
	at com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:137)
	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)
	at com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:137)
	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)
	at com.sun.jersey.server.impl.uri.rules.SubLocatorRule.accept(SubLocatorRule.java:137)
	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)
	at com.sun.jersey.server.impl.uri.rules.ResourceClassRule.accept(ResourceClassRule.java:108)
	at com.sun.jersey.server.impl.uri.rules.RightHandPathRule.accept(RightHandPathRule.java:147)
	at com.sun.jersey.server.impl.uri.rules.RootResourceClassesRule.accept(RootResourceClassesRule.java:84)
	at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1542)
	at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1473)
	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1419)
	at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1409)
	at com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:409)
	at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:540)
	at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:909)
	at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:857)
	at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:811)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)
	at org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)
	at org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)
	at org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)
	at org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)
	at org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)
	at org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)
	at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346)
	at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:259)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
	at org.apache.usergrid.rest.filters.ContentTypeFilter.doFilter(ContentTypeFilter.java:92)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:503)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103)
	at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:950)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:421)
	at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1070)
	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:611)
	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:316)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.lang.Thread.run(Thread.java:745)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-603,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Jul 21 22:11:06 UTC 2015,,,,,,,"0|i004fr:",9223372036854775807,,,,,,,,,,,Usergrid 26,,,,,,,,,,,3.0,,,,,,,,,,,"21/Jul/15 22:11;jeffreyawest;This environment is corrupted so the results coming out of it will not be clean.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty Response when using cursors after ~50 pages,USERGRID-753,12838189,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Critical,Cannot Reproduce,,jeffreyawest,jeffreyawest,16/Jun/15 15:08,03/Feb/16 00:01,29/Oct/20 16:06,02/Nov/15 19:29,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-06-16 15:34:23.699,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Nov 02 19:29:05 UTC 2015,,,,,,,"0|i001pr:000000010co8zv",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,"16/Jun/15 15:34;safeldm;received empty body in response.  may be chasing a ghost was using record size 10","22/Sep/15 21:14;jeffreyawest;This needs to be tested and confirmed with 2.1 or closed.","02/Nov/15 19:29;mdunker;We have iterated successfully over hundreds of cursor pages in 2.1. Closing.",,,,,,,,,,,,,,,,,,,,,,,,,
Test Not Passing: AssetResourceIT,USERGRID-745,12837207,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,djohnson,safeldm,safeldm,11/Jun/15 17:28,12/Jul/15 16:50,29/Oct/20 16:32,18/Jun/15 15:17,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-06-18 15:17:07.616,,,false,USERGRID-691,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Jun 19 11:54:59 UTC 2015,,,,,,,"0|i004f3:",9223372036854775807,,,,,,,,,,,Usergrid 22,Usergrid 23,,,,,,,,,,1.0,,,,,,,,,,,"18/Jun/15 15:17;djohnson;PR is ready for merge https://github.com/apache/incubator-usergrid/pull/287","19/Jun/15 11:54;djohnson;merged to two-dot-o-dev",,,,,,,,,,,,,,,,,,,,,,,,,,
"Temp files from asset upload not removed, causing the file system to use all inodes",USERGRID-740,12836695,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Critical,Fixed,greyes,tnine,tnine,09/Jun/15 23:37,29/Jul/15 20:17,29/Oct/20 16:32,28/Jul/15 23:49,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,"After running Usergrid 2.0 for over 1 month on a tomcat, we have saturated the inodes of the disk on the tomcat machine.  Our temporary files for uploads are not getting removed.  Files of this structure appear in 

{code}

 ls -lrt  /var/cache/tomcat7/temp


-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME377627531473294092.tmp
-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME2634951521985073318.tmp
-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1066361445384372180.tmp
-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME3554741621747313255.tmp
-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1805372544199883785.tmp
-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME414525331725926400.tmp
{code}


We need to ensure that all temporary files are removed.  Note that all the files remaining are 0 bytes.  This seems to be caused by an edge case when a 0 byte file is uploaded, or possibly the upload is failing.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-28 23:08:11.917,,,false,USERGRID-603,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Jul 29 19:26:39 UTC 2015,,,,,,,"0|i001af:",9223372036854775807,,,,,,,,,,,Usergrid 22,Usergrid 25,Usergrid 26,,,,,,,,,5.0,,,,,,,,,,,"28/Jul/15 23:08;greyes;This is being caused by https://java.net/jira/browse/JERSEY-2515 . Every time we create a jersey client then it creates the 0 byte MIME file. ","28/Jul/15 23:47;githubbot;GitHub user GERey opened a pull request:

    https://github.com/apache/incubator-usergrid/pull/326

    Added USERGRID-740 fix to two-dot-o

    

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/apache/incubator-usergrid USERGRID-740-two-dot-o

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/incubator-usergrid/pull/326.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #326
    
----
commit 0c9c142dba1b09614e3abbd641a04742bb184b50
Author: GERey <greyes@apigee.com>
Date:   2015-07-28T23:46:51Z

    Added USERGRID-740 fix to two-dot-o

----
","28/Jul/15 23:49;greyes;Also added the fix to 2.0 since it is just a bump of the jersey version. ","29/Jul/15 19:26;githubbot;Github user asfgit closed the pull request at:

    https://github.com/apache/incubator-usergrid/pull/326
",,,,,,,,,,,,,,,,,,,,,,,,
2.0 does not correctly handle inferred type of Date with optional time,USERGRID-738,12836216,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,greyes,jeffreyawest,jeffreyawest,08/Jun/15 17:04,02/Feb/16 21:28,29/Oct/20 16:32,15/Jul/15 16:21,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,This causes issues if the field is blank.  We need to resolve this for a production installation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-801,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-08 17:04:38.0,,,,,,,"0|i004hz:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS Queue Manager uses ARN to read instead of URL,USERGRID-729,12836054,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,jeffreyawest,jeffreyawest,jeffreyawest,08/Jun/15 03:29,12/Jul/15 15:41,29/Oct/20 16:32,08/Jun/15 16:06,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,There is a bug in org.apache.usergrid.persistence.queue.impl.SNSQueueManagerImpl which results in the ARN of the queue being used when the URL should be used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-731,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-06-08 03:29:36.0,,,,,,,"0|i2f873:",9223372036854775807,,,,,,,,,,,Usergrid 21,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
